image_index,width,height,aspect_ratio,total_pixels,mean_red,mean_green,mean_blue,std_red,std_green,std_blue,brightness,num_positive_attributes,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Male,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young,Has_Facial_Hair,Uses_Makeup,Wears_Accessories
10,178,218,0.8165137614678899,38804,129.42111637975466,104.76778167199258,115.70253066694156,83.91915197418369,80.73333076134796,80.91865808739342,116.63047623956292,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,178,218,0.8165137614678899,38804,85.7818266158128,62.80450469023812,53.80125760230904,73.32011362200268,48.569090215834606,36.22815921513582,67.46252963611998,12,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
12,178,218,0.8165137614678899,38804,121.79947943510979,113.4197247706422,102.9946397278631,69.8765759842928,55.62186717095402,54.40235374794694,112.73794797787168,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
13,178,218,0.8165137614678899,38804,133.78906813730543,97.77448201216369,65.71907535305638,73.79805998415264,52.96098496597608,35.610943268852985,99.09420850084183,11,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
14,178,218,0.8165137614678899,38804,168.06674569631997,161.6609370168024,160.92815173693432,53.30361828537845,56.511378245968245,62.665507419951894,163.55194481668556,8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
15,178,218,0.8165137614678899,38804,74.97069889702092,54.858597051850325,39.2946603442944,77.73398721200161,54.048184949267856,39.19834732863285,56.37465209772188,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
16,178,218,0.8165137614678899,38804,168.56491598804246,153.04808782599733,149.5812029687661,44.55587207580008,62.349931218892586,74.52633285954667,157.06473559426863,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
17,178,218,0.8165137614678899,38804,167.07115245850943,155.31107617771363,148.67407999175342,54.4546735997899,63.66410192904622,73.96575575683185,157.01876954265882,15,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1
18,178,218,0.8165137614678899,38804,186.2527574476858,163.67109060921555,128.02587362127616,42.386387419114655,44.68658196144918,45.08459618181283,159.31657389272584,11,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1
19,178,218,0.8165137614678899,38804,76.36692093598599,62.844964436656014,57.284584063498606,83.94565256627462,67.8151326012267,62.971168510318776,65.4988231453802,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
20,178,218,0.8165137614678899,38804,133.9930677249768,117.42003401711163,128.41686424079992,64.213112448383,85.79510110075186,90.48020090665509,126.60998866096277,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
21,178,218,0.8165137614678899,38804,145.501726626121,123.47219358828987,100.24770642201835,66.26216950743523,59.963918771195736,59.915049353254965,123.07387554547643,10,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1
22,178,218,0.8165137614678899,38804,135.77267807442533,115.90452015256159,140.97729615503556,77.22031406482388,56.88167659840226,65.84209638579607,130.88483146067415,12,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
23,178,218,0.8165137614678899,38804,198.64488197093084,141.85576229254715,93.15521595711782,55.4656884518954,44.2453780822338,51.300576034698324,144.55195340686527,11,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1
24,178,218,0.8165137614678899,38804,114.32772394598496,100.58189877332234,71.32169363983094,54.03423660281906,46.54034185964691,39.481894590703796,95.41043878637942,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
25,178,218,0.8165137614678899,38804,137.3373363570766,117.64070714359345,110.33045562313164,73.10913965489829,74.19804498693624,72.7498569454792,121.76949970793389,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
26,178,218,0.8165137614678899,38804,83.64374806720957,64.52811565817957,52.15650448407381,79.4380974598488,59.762264455987214,56.01190208927837,66.77612273648765,13,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
27,178,218,0.8165137614678899,38804,188.73641892588392,146.51657045665397,130.54262447170396,45.14367507363634,54.407502524234225,56.67403419941031,155.26520461808062,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
28,178,218,0.8165137614678899,38804,193.60380373157406,159.80326770436037,141.19889702092567,39.30287757815372,49.12726430165368,63.23746137212877,164.8686561522867,15,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1
29,178,218,0.8165137614678899,38804,90.73904752087414,61.02770332955365,38.12557983713019,84.52083933021684,60.51782083798519,42.24388715171435,63.297443562519334,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,178,218,0.8165137614678899,38804,128.30844758272343,108.10388104319142,91.21528708380579,59.49267469364575,52.354365097637235,48.24595245134964,109.20920523657355,9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
31,178,218,0.8165137614678899,38804,94.11820946294196,115.88421296773528,150.5243789300072,67.99511759100542,48.11350281254842,77.32799593419415,120.17560045356147,8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
32,178,218,0.8165137614678899,38804,129.7162405937532,105.80128337284816,84.65037109576332,61.5847521374805,51.62627238343316,45.98222374059677,106.72263168745489,8,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
33,178,218,0.8165137614678899,38804,98.58911452427584,76.37552829605195,59.52175033501701,52.84548090544738,42.0944225925773,38.83766411978108,78.1621310517816,9,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
34,178,218,0.8165137614678899,38804,97.91359138233172,97.01718894959282,83.07393567673435,73.34953823368318,60.75222243714828,54.26135438691773,92.66823866955296,10,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
35,178,218,0.8165137614678899,38804,138.08156375631378,119.53363055355118,104.40560251520462,54.65145269420787,53.737818111217386,62.33350800768888,120.67359894168986,7,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
36,178,218,0.8165137614678899,38804,93.66977631172044,88.34256777651788,56.79118132151324,46.312891198757825,31.659349846474132,26.371129557392408,79.60117513658385,8,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1
37,178,218,0.8165137614678899,38804,185.06470982372952,176.25633955262344,168.96271002989383,67.29197300422828,67.83508139579534,71.09028159560106,176.7612531354156,9,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
38,178,218,0.8165137614678899,38804,119.6107875476755,96.88859395938563,91.099912380167,75.5856641677231,67.3531858102647,67.45539700794127,102.53309796240937,14,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1
39,178,218,0.8165137614678899,38804,136.47873930522627,112.39542315225235,84.60717967219874,66.02140354230964,56.84932047354734,49.696711134764115,111.16044737655913,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1
40,178,218,0.8165137614678899,38804,147.98309452633748,105.18083187300279,81.774765488094,68.0403524433299,49.31487204748657,47.93662584250547,111.64623062914477,8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
41,178,218,0.8165137614678899,38804,120.01306566333368,84.62295124213999,67.41436449850531,76.61830400229128,56.04780796464829,50.61467409068816,90.68346046799299,13,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1
42,178,218,0.8165137614678899,38804,137.9839191835893,111.74600556643645,116.43240387588908,67.51109282179985,65.17560205283698,77.60523972014781,122.05410954197161,14,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1
43,178,218,0.8165137614678899,38804,107.61805483970724,61.38642923409958,54.86779713431605,82.27768135126837,51.03811364832935,49.070123474627096,74.62409373604096,9,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
44,178,218,0.8165137614678899,38804,148.0899649520668,110.01211215338625,92.2116276672508,80.64307796338586,84.36885203176352,81.35144640396524,116.77123492423463,15,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1
45,178,218,0.8165137614678899,38804,131.89320688588805,119.30190186578703,112.38730543242964,82.69660773743145,76.09626188973701,72.0881707715312,121.19413806136824,13,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
46,178,218,0.8165137614678899,38804,107.83579012472941,90.79110400989589,84.97848159983506,82.25344368729868,78.96243894064384,80.02417507759256,94.53512524482012,14,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1
47,178,218,0.8165137614678899,38804,51.15655602515205,41.76711163797547,40.564709823729515,76.88973658866736,69.39931951849938,64.5904514040339,44.49612582895234,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,178,218,0.8165137614678899,38804,103.93541902896608,87.50646840531904,78.96368931038037,78.28355558312867,60.08632662395719,50.38359141469433,90.13519224822183,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,178,218,0.8165137614678899,38804,74.65959694876817,56.70405112874961,50.07823935676734,85.44828679328836,66.30729630767425,60.609754815191884,60.48062914476171,10,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
50,178,218,0.8165137614678899,38804,143.95399958767138,133.56056076693125,131.49626327182764,81.29266221776795,79.69836682339871,81.59369106152486,136.3369412088101,9,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,178,218,0.8165137614678899,38804,154.88547572415214,126.19665498402226,101.84401092670859,77.00357249267283,68.70777715460662,62.16733647099605,127.64204721162768,8,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,178,218,0.8165137614678899,38804,100.64516544686114,80.71361199876301,73.0593237810535,61.243289622093634,51.360099472313664,47.762489168017595,84.80603374222589,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
53,178,218,0.8165137614678899,38804,145.90240696835377,132.37903308937223,111.69585609730956,57.715653647791996,59.798218234003315,67.11220683834057,129.99243205167852,16,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1
54,178,218,0.8165137614678899,38804,92.21193691372024,75.04257293062571,67.8655035563344,84.45501249129131,61.831319679661426,55.08567491502433,78.37333780022678,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
55,178,218,0.8165137614678899,38804,105.04996907535306,82.60937016802391,68.24239769095969,86.01948632954151,83.21460148832602,72.15708333902658,85.30057897811223,9,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
56,178,218,0.8165137614678899,38804,180.11158643438822,167.04432532728583,149.61756519946397,73.50237152290575,64.42912979162084,64.17308744915128,165.591158987046,8,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1
57,178,218,0.8165137614678899,38804,144.9853365632409,132.04522729615505,125.93070302030719,93.41673368166967,87.9200336494962,87.76429192754351,134.32042229323437,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
58,178,218,0.8165137614678899,38804,137.41851355530358,76.42018864034635,64.06244201628698,87.14067536375775,56.08879236727362,52.171579094016735,92.6337147373123,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
59,178,218,0.8165137614678899,38804,130.25322131738997,96.05270075249975,66.36784867539428,57.39501376940806,50.31752011277979,43.39294788549595,97.55792358176133,9,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
60,178,218,0.8165137614678899,38804,198.50115967426038,152.43799608287804,111.7341511184414,74.28340215959311,64.35707502142442,50.80750611508819,154.22443562519328,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
61,178,218,0.8165137614678899,38804,77.30793217194103,60.4810071126688,52.79396453973817,78.00751299234675,59.18778830258993,51.82761308270041,63.527634608115996,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
62,178,218,0.8165137614678899,38804,120.22412637872384,74.77154417070405,57.97755386042676,61.44267569012071,50.94975294846452,46.34597805331872,84.3244081366182,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0
63,178,218,0.8165137614678899,38804,185.23837748685702,173.759045459231,172.83527471394703,50.32822610072084,58.35235379095821,69.25362077325967,177.27756588667833,7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
64,178,218,0.8165137614678899,38804,198.50938047623956,185.8541387485826,176.8731058653747,56.12238024543893,64.00946965551081,70.4976462831403,187.07887503006563,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
65,178,218,0.8165137614678899,38804,106.97332749201114,83.30393773837748,79.67204411916298,61.56346217615435,51.71692398758152,51.30911223442908,89.9831031165172,13,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1
66,178,218,0.8165137614678899,38804,130.67029172250284,105.35702504896402,92.50695804556231,81.52011730624281,85.51763197851511,82.34459724616185,109.51142493900973,5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,178,218,0.8165137614678899,38804,91.91031852386352,74.68263581074116,65.23242449232038,70.56448146511347,60.51021569949844,56.796256298277555,77.27512627564168,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
68,178,218,0.8165137614678899,38804,163.21219461911144,139.07344603649108,137.93186269456757,51.53348475768593,53.959962717810264,58.631907643203604,146.73916778339003,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,178,218,0.8165137614678899,38804,165.64416039583548,140.84864962375013,129.98013091433873,63.643327302730654,64.31631395998089,64.12065580770006,145.4909803113081,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
70,178,218,0.8165137614678899,38804,135.44791774043912,101.84965467477579,70.49677868261004,73.5767874308067,56.27085300748695,44.98005966401095,102.59811703260833,13,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1
71,178,218,0.8165137614678899,38804,148.4309864962375,140.80228842387382,130.93851149366046,60.778127479084546,63.48376454583437,68.62147323708906,140.0572621379239,13,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
72,178,218,0.8165137614678899,38804,102.90284506751881,68.08411503968664,48.37815689104216,95.15481958300836,73.01727047530545,55.745316192842395,73.12170566608253,10,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
73,178,218,0.8165137614678899,38804,184.95722090506135,170.17487887846613,162.65998350685496,86.28311405018037,82.56838357998734,81.2944280889229,172.59736109679412,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1
74,178,218,0.8165137614678899,38804,105.269379445418,90.28891351407071,88.13264096484899,69.55412860436994,51.918035139138674,52.8849678079049,94.56364464144589,9,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
75,178,218,0.8165137614678899,38804,144.39622203896505,121.96979692815174,111.48835171631791,75.25948601462696,69.09366697498322,72.90246107940582,125.95145689447823,8,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
76,178,218,0.8165137614678899,38804,94.61686939490774,69.20884444902588,55.2243325430368,81.49138839010276,63.04906753582502,52.01298677591522,73.01668212899014,11,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
77,178,218,0.8165137614678899,38804,128.8808370271106,86.70776208638284,64.1669673229564,85.29833118725065,65.6816768395721,51.59202524446733,93.25185547881661,11,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
78,178,218,0.8165137614678899,38804,125.2729357798165,77.57821358622823,69.77012679105246,57.231739637051106,55.124740613190404,46.12669487933303,90.87375871903241,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,178,218,0.8165137614678899,38804,134.38544995361303,131.59609834037727,109.09300587568292,79.1015349098643,73.02742117246737,68.55193942307503,125.02485138989107,8,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
80,178,218,0.8165137614678899,38804,66.14472734769612,49.96971961653438,41.41910627770333,87.53561297019994,66.07438133802619,54.591274709139824,52.51118441397794,11,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
